Mäkitie|25.00988,60.33262
Maratontie|25.11059,60.25117
Keihästie|25.10881,60.24232
Keihästie|25.10902,60.24219
Kuulakuja|25.11154,60.24491
Vantaankoski/VR|24.84804,60.2858
Martinlaakso/VR|24.85282,60.27793
Pallastunturintie|25.11225,60.24751
Maalinauhantie|25.10666,60.24324
Lautmäenkuja|24.80917,60.34163
Lautmäenkuja|24.80853,60.34214
Sandbacka|24.814,60.33968
Sandbacka|24.81417,60.33963
Kirkantie|24.81792,60.33344
Kirkantie|24.81876,60.33248
Kivipellontie|24.8256,60.32778
Kivipellontie|24.82606,60.32704
Sälpäkuja|24.83112,60.32267
Sälpäkuja|24.83235,60.32157
Radioasemantie|24.83873,60.31705
Radioasemantie|24.84041,60.31612
Nummimäentie|24.78336,60.33418
Nummimäentie|24.78329,60.33406
Åvall|24.79412,60.33749
Åvall|24.79028,60.33661
Vestrantie|24.79995,60.33872
Vestrantie|24.79951,60.33857
Siilotie|24.80562,60.3392
Siilotie|24.80776,60.33916
Kirkka|24.80888,60.32268
Marstrand|24.79426,60.3375
Vanha Hämeenlinnant.|24.81517,60.33948
Vanha Hämeenlinnant.|24.81626,60.33848
Marstrand|24.79421,60.33745
Keimola|24.84098,60.31347
Keimola|24.83953,60.31481
Esikkotie|25.04094,60.299
Esikkotie|25.04203,60.29926
Tikkurilan as. l.5|25.04312,60.29159
Tikkurilan as. l.4|25.0431,60.2914
Virnatie|25.0331,60.28785
Kaislaranta|25.03052,60.28613
Lummetie|25.03472,60.29765
Kylväjänkuja|24.80591,60.26695
Kylväjänkuja|24.80497,60.26687
Maissikuja|24.80229,60.27064
Maissikuja|24.80229,60.27064
Maissikuja|24.80224,60.2708
Maissikuja|24.80215,60.27096
Terhotie|24.79965,60.25508
Hämeenkyläntie|24.79724,60.25438
Valt.virastotalo|25.03844,60.29661
Valt.virastotalo|25.03905,60.29594
Neilikkatie|25.0366,60.29163
Neilikkatie|25.03651,60.29093
Åvik|25.03941,60.28975
Tikkurilan asema|25.04267,60.29109
Tikkurilan asema|25.04296,60.2912
Grandinkulma|25.03668,60.28932
Orvokkikuja|25.03306,60.28947
Tavastkullantie|24.79726,60.2705
Terhotie|24.80147,60.25537
Tavastkullantie|24.79557,60.27016
Orvokkikuja|25.03163,60.28924
Grandinkulma|25.03444,60.28896
Orvokkirinne|25.03985,60.29732
Vantaan opistotalo|25.03984,60.29674
Kaupungin virastot.|25.0381,60.29427
Kaupungintalo|25.0382,60.29388
Orvokkitie|25.03549,60.29267
Orvokkitie|25.03557,60.29258
Talvikkitie|25.03573,60.2969
Vehkapolku|25.03887,60.29209
Vehkapolku|25.03852,60.29223
Tikkurilan as. l.3|25.04337,60.29164
Tikkurilan as. l.2|25.04325,60.29129
Tikkurilan as. l.1|25.04351,60.29157
Pähkinätie|24.80584,60.26436
Skinnarintie|24.78675,60.26609
Aitakuja|24.78782,60.26622
Kastanjakuja|24.80489,60.25648
Pähkinätie|24.80569,60.26419
Pajarinne|24.79488,60.26877
Pajarinne|24.79489,60.26848
Uudenkyläntie|24.77941,60.27463
Santamäentie|24.79868,60.26647
Santamäentie|24.79949,60.26612
Pähkinätie|24.80597,60.26444
Vanhankyläntie|24.78154,60.27395
Vanhankyläntie|24.77924,60.27395
Kakolanmäki|24.7939,60.27313
Kakolanmäki|24.7938,60.27342
Pähkinäpolku|24.80189,60.26461
Pähkinäpolku|24.80189,60.26461
Pähkinätie|24.80569,60.26427
Lammaskuja|24.80645,60.26149
Lammaskuja|24.80608,60.26233
Karhunkierros|24.80958,60.25673
Karhunkierros|24.80891,60.25811
Pähkinärinteentie|24.80804,60.25537
Mantelikuja|24.80591,60.25572
